rank_abs_lr_coef,gene_id,gene_id_base,gene_name,lr_coef,abs_lr_coef,direction_if_high,scaler_mean,scaler_scale
68,ENSG00000273542.2,ENSG00000273542,,0.09337980854540923,0.09337980854540923,tumor,1.1306298347430874,0.9350432883520329
69,ENSG00000186891.14,ENSG00000186891,,-0.09228719179695907,0.09228719179695907,normal,2.670161465560789,1.6785657629747235
70,ENSG00000137077.8,ENSG00000137077,,-0.092086324198474,0.092086324198474,normal,5.238205534622008,2.644526208487459
71,ENSG00000095970.17,ENSG00000095970,,0.0916433671459276,0.0916433671459276,tumor,4.241819466136992,1.8851239622516835
72,ENSG00000241468.8,ENSG00000241468,,0.0914774288017619,0.0914774288017619,tumor,5.4164600103603044,0.8428417105405721
73,ENSG00000265681.7,ENSG00000265681,,0.09132667212193361,0.09132667212193361,tumor,2.011397829152164,0.7074108704083639
74,ENSG00000204262.14,ENSG00000204262,,0.09052296482663223,0.09052296482663223,tumor,5.0230830868913205,1.9283881770464248
75,ENSG00000178927.18,ENSG00000178927,,0.08992045304506008,0.08992045304506008,tumor,4.700327425387011,0.7745849543349143
76,ENSG00000151778.11,ENSG00000151778,,-0.08982460531798875,0.08982460531798875,normal,2.178746718239567,1.0393064724011158
77,ENSG00000129084.18,ENSG00000129084,,0.08954505573970929,0.08954505573970929,tumor,3.6935608617841273,0.6688274948760905
78,ENSG00000117308.15,ENSG00000117308,,-0.08908110583938482,0.08908110583938482,normal,5.0159968193866185,1.0441921347545209
79,ENSG00000204866.8,ENSG00000204866,,0.08870214236734356,0.08870214236734356,tumor,0.9175449063856882,1.3100272139591267
80,ENSG00000125144.14,ENSG00000125144,,-0.08867037919273717,0.08867037919273717,normal,5.4466436738423845,3.134379588015683
81,ENSG00000233822.4,ENSG00000233822,,0.08866276205184125,0.08866276205184125,tumor,0.9166470494480254,0.6220054513968394
82,ENSG00000197766.8,ENSG00000197766,,-0.08863411244522824,0.08863411244522824,normal,5.391086124537684,2.062365297329589
83,ENSG00000122884.12,ENSG00000122884,,0.08860326944884718,0.08860326944884718,tumor,5.8092331663592045,1.1122076760382715
84,ENSG00000149294.17,ENSG00000149294,,-0.08857332038037903,0.08857332038037903,normal,1.5448839310292697,1.5206616422766401
85,ENSG00000111275.13,ENSG00000111275,,-0.08813912457622677,0.08813912457622677,normal,5.533152331666828,1.3519717333695873
86,ENSG00000105220.17,ENSG00000105220,,0.08775464391840906,0.08775464391840906,tumor,6.420359661055092,0.7993176577255222
87,ENSG00000141562.18,ENSG00000141562,,0.08765507326277776,0.08765507326277776,tumor,4.049771256766781,0.7584881749793652
88,ENSG00000205364.4,ENSG00000205364,,-0.08763095103550844,0.08763095103550844,normal,4.216142459160697,2.2307958994022665
89,ENSG00000240583.13,ENSG00000240583,,0.08756216924540819,0.08756216924540819,tumor,6.9538018948614315,2.0045543462288524
90,ENSG00000163531.15,ENSG00000163531,,0.08712947918009205,0.08712947918009205,tumor,1.8579460185528134,1.226418110925094
91,ENSG00000119147.10,ENSG00000119147,,0.08705677606821335,0.08705677606821335,tumor,2.950640721660609,2.5268737521803457
92,ENSG00000161091.13,ENSG00000161091,,-0.08695412777702172,0.08695412777702172,normal,4.598310049963539,0.8289738080568142
93,ENSG00000137727.12,ENSG00000137727,,-0.08686383032870267,0.08686383032870267,normal,1.3715871064260894,1.1409572494010018
94,ENSG00000170369.4,ENSG00000170369,,0.08673876596915803,0.08673876596915803,tumor,1.5073483453441976,1.7770549051462363
95,ENSG00000034971.17,ENSG00000034971,,-0.08663996715801672,0.08663996715801672,normal,1.303366505316339,1.715634399993181
96,ENSG00000163888.4,ENSG00000163888,,0.08641738154780756,0.08641738154780756,tumor,1.5367620884289022,1.1859850343029972
97,ENSG00000181234.9,ENSG00000181234,,-0.08536998301709119,0.08536998301709119,normal,0.897140668906502,1.3037144961836116
98,ENSG00000136826.15,ENSG00000136826,,-0.08516060458804589,0.08516060458804589,normal,5.191683967565363,1.7520647831590141
99,ENSG00000186952.15,ENSG00000186952,,-0.08444859896111918,0.08444859896111918,normal,0.6788033145231605,0.6500271712653368
100,ENSG00000146477.6,ENSG00000146477,,-0.08434630817191326,0.08434630817191326,normal,3.1628916585626414,1.8703377977219238
101,ENSG00000214128.11,ENSG00000214128,,-0.08398988824342453,0.08398988824342453,normal,1.2493950579030109,2.312559801445475
102,ENSG00000153246.13,ENSG00000153246,,-0.08379757300311573,0.08379757300311573,normal,2.247950726450027,1.3701186848431757
103,ENSG00000168490.14,ENSG00000168490,,-0.08356011599963345,0.08356011599963345,normal,1.6742721813733088,1.3259941333664556
104,ENSG00000129667.13,ENSG00000129667,,0.08354564449596666,0.08354564449596666,tumor,3.7984883789112494,1.08626481613883
