threshold_name,threshold,accuracy,f1,precision,recall,specificity,tn,fp,fn,tp,youden_j
default,0.5,1.0,1.0,1.0,1.0,1.0,2,0,0,3,
youden_j,0.9899565622025662,1.0,1.0,1.0,1.0,1.0,2,0,0,3,1.0
